id,driver_id,racing_number,grand_prix,race_id,session_date,message_timestamp,transcription
2018_Australian_Grand_Prix_BREHAR01_28_20180325_161424,BREHAR01,28,2018 Australian Grand Prix,2018_Australian_Grand_Prix,25/03/2018,2018-03-25T05:14:31.022Z,Are you folks?
2018_Australian_Grand_Prix_BREHAR01_28_20180325_161445,BREHAR01,28,2018 Australian Grand Prix,2018_Australian_Grand_Prix,25/03/2018,2018-03-25T05:14:51.85Z,"Box, Brendan, box, box."
2018_Australian_Grand_Prix_BREHAR01_28_20180325_161536,BREHAR01,28,2018 Australian Grand Prix,2018_Australian_Grand_Prix,25/03/2018,2018-03-25T05:15:43.088Z,"Okay, Brennan, we've got to make this work now."
2018_Australian_Grand_Prix_CARSAI01_55_20180325_171041,CARSAI01,55,2018 Australian Grand Prix,2018_Australian_Grand_Prix,25/03/2018,2018-03-25T06:10:48.903Z,"Okay Carlos, you're 7 tenths quicker than Van der Waal ahead on SuperSalt. Let's go and get him."
2018_Australian_Grand_Prix_CARSAI01_55_20180325_172235,CARSAI01,55,2018 Australian Grand Prix,2018_Australian_Grand_Prix,25/03/2018,2018-03-25T06:22:47.022Z,"Okay, Carlos, everything looks clear from our side? Yes, it's normal now. Okay, understood."
2018_Australian_Grand_Prix_DANRIC01_3_20180325_163600,DANRIC01,3,2018 Australian Grand Prix,2018_Australian_Grand_Prix,25/03/2018,2018-03-25T05:36:11.539Z,What about a different plan? Not the original. How does that look?
2018_Australian_Grand_Prix_DANRIC01_3_20180325_164939,DANRIC01,3,2018 Australian Grand Prix,2018_Australian_Grand_Prix,25/03/2018,2018-03-25T05:49:46.474Z,"Right, let's settle into it mate, let's up the pace, let's go."
2018_Australian_Grand_Prix_DANRIC01_3_20180325_165106,DANRIC01,3,2018 Australian Grand Prix,2018_Australian_Grand_Prix,25/03/2018,2018-03-25T05:51:16.636Z,yellow turn one yellow turn one it's good pace mate yellow turn one Grosjean stopped exit turn two
2018_Australian_Grand_Prix_DANRIC01_3_20180325_165122,DANRIC01,3,2018 Australian Grand Prix,2018_Australian_Grand_Prix,25/03/2018,2018-03-25T05:51:32.257Z,"Okay, virtual safeguard, virtual safeguard. Okay, so you need to be positive on the delta, positive on the delta."
2018_Australian_Grand_Prix_DANRIC01_3_20180325_165228,DANRIC01,3,2018 Australian Grand Prix,2018_Australian_Grand_Prix,25/03/2018,2018-03-25T05:52:47.685Z,"Kiki. Sasa Field. You do not need to say Field, just need to be positive on the Delta. Remember the sketch."
2018_Australian_Grand_Prix_DANRIC01_3_20180325_170323,DANRIC01,3,2018 Australian Grand Prix,2018_Australian_Grand_Prix,25/03/2018,2018-03-25T06:03:31.886Z,"Two cars ahead, older tyres. Safety car is entering the pit lane now. Safety car is in this lap."
2018_Australian_Grand_Prix_DANRIC01_3_20180325_170519,DANRIC01,3,2018 Australian Grand Prix,2018_Australian_Grand_Prix,25/03/2018,2018-03-25T06:05:31.913Z,"Okay, so these tyres are going to be fine to the end. You did 26 laps on the first stint. Wear was good. These tyres will be good."
2018_Australian_Grand_Prix_DANRIC01_3_20180325_172816,DANRIC01,3,2018 Australian Grand Prix,2018_Australian_Grand_Prix,25/03/2018,2018-03-25T06:28:27.196Z,How much do you think you are being held up? How much quicker do you think you are? Hard to say. Definitely a few taps.
2018_Australian_Grand_Prix_DANRIC01_3_20180325_173158,DANRIC01,3,2018 Australian Grand Prix,2018_Australian_Grand_Prix,25/03/2018,2018-03-25T06:32:19.652Z,"Okay, definitely quicker. Yeah, I can see that, mate. You have got a bit of a gap now without any more back markers. So think about if you want to have a breathe. So you've got this lap and then seven more. This lap and seven more after this."
